5 Yıllık Finansal Gelir ve Gider Projeksiyonları Hedefli,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Toplam Faaliyet Giderleri (OPEX) (USD),TL OPEX / Dolar Kuru,546250,2447655.5689062495,6177726.478700976,19327197.0386532,35118493.30920217
FİNANSAL ÖZET & KÂRLILIK,,,,,,
FAVÖK (EBITDA) (TL),Ciro (TL) - OPEX (TL),42588000,296625309.74249995,800650667.2754154,2605735616.767188,4767042890.78984
FAVÖK (EBITDA) (USD),TL EBITDA / Dolar Kuru,887250,6179693.952968749,16680222.234904489,54286158.682649754,99313393.55812167
FAVÖK Marjı (%),EBITDA / Toplam Gelir,0.6189396581792814,0.7162911317432871,0.7297339951146237,0.7374498574440058,0.7387636659160932
Amortisman Gideri (TL),Kamera & Ekipman / 5 Yıl,672000,739200.0000000001,813120.0000000002,894432.0000000002,983875.2000000004
Kurumlar Vergisi (%20) (TL),Pozitif Kâr üzerinden %20 Vergi,8383200,59177221.94849999,159967509.4550831,520968236.9534376,953211803.1179681
Net Dönem Kârı (TL),EBITDA - Amortisman - Vergi,33532800,236708887.79399997,639870037.8203323,2083872947.8137505,3812847212.471872
Net Dönem Kârı (USD),TL Net Kâr / Dolar Kuru,698600,4931435.162374999,13330625.78792359,43414019.746119805,79434316.92649733
Net Kâr Marjı (%),Net Kâr / Toplam Gelir,0.4873386815486571,0.571604888601203,0.583194316994375,0.5897573792245452,0.5908889533395765
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Emlak Mimarı - Şirket Değerlemesi ve Yatırımcı Geri Dönüşü,,,,,,
,,,,,,
5. YIL SONU ŞİRKET DEĞERLEMESİ,,,,,,
EBITDA Çarpanı (Sektör Standardı),10,<- Yatırımcı için varsayılan çarpan,,,,
5. Yıl Sonu EBITDA (USD),99313393.55812167,,,,,
Girişim Değeri (USD) (Enterprise Value),993133935.5812167,,,,,
,,,,,,
,,,,,,
YATIRIMCI GERİ DÖNÜŞÜ (350.000 $ YATIRIM İÇİN),,,,,,
Talep Edilen Yatırım Tutarı ($),350000,,,,,
Teklif Edilen Hisse (%),0.2,,,,,
5. Yıl Sonu Yatırımcı Hisse Değeri (USD),198626787.11624336,,,,,
Yatırım Çarpanı (MOIC),567.5051060464097,,,,,
İç Verim Oranı (IRR),2.554626339708412,,,,,
,,,,,,
,,,,,,
YATIRIM GERİ ÖDEME (PAYBACK) VE NAKİT AKIŞ ANALİZİ,,,,,,
Metrik (USD),Yıl 0 (Bugün),Yıl 1 (2026),Yıl 2 (2027),Yıl 3 (2028),Yıl 4 (2029),Yıl 5 (2030)
Yatırımcı Nakit Akışı (Girdi/Kâr Payı),-350000,139720,986287.0324749999,2666125.157584718,8682803.949223962,15886863.385299467
Kümülatif Nakit Akışı,-350000,-210280,776007.0324749999,3442132.1900597177,12124936.13928368,28011799.524583146
Yatırım Geri Dönüş Durumu,Yatırım Yapıldı,Devam Ediyor,Geri Ödeme Sağlandı!,Kârlı Dönem,Kârlı Dönem,Kârlı Dönem
