Coğrafya,Gösterge_ID,Gösterge,Birim,Yıl,Değer,Dönem_Türü,Veri_Türü,Kaynak_ID,Kaynak_URL,Metod_Notu
Türkiye,2,Ortalama satılık konut alanı,m²,2023,130.0,Yıl sonu / rapor dönemi,Türetilmiş,S07,https://www.gayrimenkulhaber.com/emlak-haberleri/turkiyede-ortalama-konut-fiyati-3-milyon-92-bin-700-tl-oldu/,
Türkiye,2,Ortalama satılık konut alanı,m²,2024,127.8428,Yıl sonu / rapor dönemi,Türetilmiş,S08,https://www.gayrimenkulhaber.com/guncel/endeksa-2024-yillik-gayrimenkul-deger-raporu-yayimlandi/,
Türkiye,2,Ortalama satılık konut alanı,m²,2025,124.3386,Yıl sonu / rapor dönemi,Türetilmiş,S09;S16,https://www.dunya.com/ekonomik-veriler/endeksa-konut-satis-fiyatlari-aralik-ayinda-yuzde-272-artti-haberi-812021 ; https://www.karar.com/ekonomi-haberleri/konut-satislari-ne-durumda-emlakta-en-cok-kazandiran-il-hangisi-2033220,
Türkiye,2,Ortalama satılık konut alanı,m²,2026,125.0,Temmuz 2026 son gözlem,Türetilmiş,S10,https://www.emlakjet.com/emlak-piyasasi/satilik-konut,
Türkiye,2,Ortalama satılık konut alanı,m²,2027,125.0,Tahmin,Tahmin,S10;S28;S29,https://www.emlakjet.com/emlak-piyasasi/satilik-konut ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,2026 alanı sabit tutulmuştur.
Türkiye,2,Ortalama satılık konut alanı,m²,2028,125.0,Tahmin,Tahmin,S10;S28;S29,https://www.emlakjet.com/emlak-piyasasi/satilik-konut ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,2026 alanı sabit tutulmuştur.
Türkiye,2,Ortalama satılık konut alanı,m²,2029,125.0,Tahmin,Tahmin,S10;S28;S29,https://www.emlakjet.com/emlak-piyasasi/satilik-konut ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,2026 alanı sabit tutulmuştur.
Türkiye,2,Ortalama satılık konut alanı,m²,2030,125.0,Tahmin,Tahmin,S10;S28;S29,https://www.emlakjet.com/emlak-piyasasi/satilik-konut ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,2026 alanı sabit tutulmuştur.
Türkiye,3,Ortalama satılık m² fiyatı,TL/m²,2022,13824.0,Yıl sonu / rapor dönemi,Piyasa verisi,S06,https://www.emlakdream.com/turkiyede-ortalama-bir-ev-fiyati-1-8-milyon-tlye-yukseldi/,
Türkiye,3,Ortalama satılık m² fiyatı,TL/m²,2023,23790.0,Yıl sonu / rapor dönemi,Piyasa verisi,S07,https://www.gayrimenkulhaber.com/emlak-haberleri/turkiyede-ortalama-konut-fiyati-3-milyon-92-bin-700-tl-oldu/,
Türkiye,3,Ortalama satılık m² fiyatı,TL/m²,2024,29724.0,Yıl sonu / rapor dönemi,Piyasa verisi,S08,https://www.gayrimenkulhaber.com/guncel/endeksa-2024-yillik-gayrimenkul-deger-raporu-yayimlandi/,
Türkiye,3,Ortalama satılık m² fiyatı,TL/m²,2025,37800.0,Yıl sonu / rapor dönemi,Piyasa verisi,S09;S16,https://www.dunya.com/ekonomik-veriler/endeksa-konut-satis-fiyatlari-aralik-ayinda-yuzde-272-artti-haberi-812021 ; https://www.karar.com/ekonomi-haberleri/konut-satislari-ne-durumda-emlakta-en-cok-kazandiran-il-hangisi-2033220,
Türkiye,3,Ortalama satılık m² fiyatı,TL/m²,2026,41703.0,Temmuz 2026 son gözlem,Son piyasa gözlemi,S10,https://www.emlakjet.com/emlak-piyasasi/satilik-konut,
Türkiye,3,Ortalama satılık m² fiyatı,TL/m²,2027,47958.45,Tahmin,Tahmin,S10;S28;S29,https://www.emlakjet.com/emlak-piyasasi/satilik-konut ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,"Nominal fiyat patikası: 2027 %15, 2028 %9, 2029 %6, 2030 %5."
Türkiye,3,Ortalama satılık m² fiyatı,TL/m²,2028,52274.7105,Tahmin,Tahmin,S10;S28;S29,https://www.emlakjet.com/emlak-piyasasi/satilik-konut ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,"Nominal fiyat patikası: 2027 %15, 2028 %9, 2029 %6, 2030 %5."
Türkiye,3,Ortalama satılık m² fiyatı,TL/m²,2029,55411.1931,Tahmin,Tahmin,S10;S28;S29,https://www.emlakjet.com/emlak-piyasasi/satilik-konut ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,"Nominal fiyat patikası: 2027 %15, 2028 %9, 2029 %6, 2030 %5."
Türkiye,3,Ortalama satılık m² fiyatı,TL/m²,2030,58181.7528,Tahmin,Tahmin,S10;S28;S29,https://www.emlakjet.com/emlak-piyasasi/satilik-konut ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,"Nominal fiyat patikası: 2027 %15, 2028 %9, 2029 %6, 2030 %5."
Türkiye,4,Ortalama ev fiyatı,TL,2022,1797120.0,Yıl sonu / rapor dönemi,Piyasa verisi,S06,https://www.emlakdream.com/turkiyede-ortalama-bir-ev-fiyati-1-8-milyon-tlye-yukseldi/,
Türkiye,4,Ortalama ev fiyatı,TL,2023,3092700.0,Yıl sonu / rapor dönemi,Piyasa verisi,S07,https://www.gayrimenkulhaber.com/emlak-haberleri/turkiyede-ortalama-konut-fiyati-3-milyon-92-bin-700-tl-oldu/,
Türkiye,4,Ortalama ev fiyatı,TL,2024,3800000.0,Yıl sonu / rapor dönemi,Piyasa verisi,S08,https://www.gayrimenkulhaber.com/guncel/endeksa-2024-yillik-gayrimenkul-deger-raporu-yayimlandi/,
Türkiye,4,Ortalama ev fiyatı,TL,2025,4700000.0,Yıl sonu / rapor dönemi,Piyasa verisi,S09;S16,https://www.dunya.com/ekonomik-veriler/endeksa-konut-satis-fiyatlari-aralik-ayinda-yuzde-272-artti-haberi-812021 ; https://www.karar.com/ekonomi-haberleri/konut-satislari-ne-durumda-emlakta-en-cok-kazandiran-il-hangisi-2033220,
Türkiye,4,Ortalama ev fiyatı,TL,2026,5212875.0,Temmuz 2026 son gözlem,Son piyasa gözlemi,S10,https://www.emlakjet.com/emlak-piyasasi/satilik-konut,
Türkiye,4,Ortalama ev fiyatı,TL,2027,5994806.25,Tahmin,Tahmin,S10;S28;S29,https://www.emlakjet.com/emlak-piyasasi/satilik-konut ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,
Türkiye,4,Ortalama ev fiyatı,TL,2028,6534338.8125,Tahmin,Tahmin,S10;S28;S29,https://www.emlakjet.com/emlak-piyasasi/satilik-konut ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,
Türkiye,4,Ortalama ev fiyatı,TL,2029,6926399.1413,Tahmin,Tahmin,S10;S28;S29,https://www.emlakjet.com/emlak-piyasasi/satilik-konut ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,
Türkiye,4,Ortalama ev fiyatı,TL,2030,7272719.0983,Tahmin,Tahmin,S10;S28;S29,https://www.emlakjet.com/emlak-piyasasi/satilik-konut ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,
Türkiye,5,Kiralanan ev sayısı (platform proxy),adet/yıl,2022,451812.0,Tam yıl,Platform proxy / yıllıklandırılmış,S25,https://www.bloomberght.com/kira-artis-hizi-yukseldi-kiralanan-konut-azaldi-2323711,Resmî kira sözleşmesi adedi değildir; sahibindex/BETAM platform göstergesi yıllık proxy.
Türkiye,5,Kiralanan ev sayısı (platform proxy),adet/yıl,2023,484260.0,Tam yıl,Platform proxy / yıllıklandırılmış,S27,https://image5.sahibinden.com/staticContent/969bb478/2309/451b/af82/d321e8a0a74d/1706003743.pdf,Resmî kira sözleşmesi adedi değildir; sahibindex/BETAM platform göstergesi yıllık proxy.
Türkiye,5,Kiralanan ev sayısı (platform proxy),adet/yıl,2024,508473.0,Tam yıl,Model/Proxy,S27;Model,https://image5.sahibinden.com/staticContent/969bb478/2309/451b/af82/d321e8a0a74d/1706003743.pdf,Resmî kira sözleşmesi adedi değildir; sahibindex/BETAM platform göstergesi yıllık proxy.
Türkiye,5,Kiralanan ev sayısı (platform proxy),adet/yıl,2025,528811.92,Tam yıl,Model/Proxy,S27;Model,https://image5.sahibinden.com/staticContent/969bb478/2309/451b/af82/d321e8a0a74d/1706003743.pdf,Resmî kira sözleşmesi adedi değildir; sahibindex/BETAM platform göstergesi yıllık proxy.
Türkiye,5,Kiralanan ev sayısı (platform proxy),adet/yıl,2026,549964.3968,2026E,Model/Proxy,S27;Model,https://image5.sahibinden.com/staticContent/969bb478/2309/451b/af82/d321e8a0a74d/1706003743.pdf,Resmî kira sözleşmesi adedi değildir; sahibindex/BETAM platform göstergesi yıllık proxy.
Türkiye,5,Kiralanan ev sayısı (platform proxy),adet/yıl,2027,569316.1539,Tahmin,Tahmin,S27;S28;S29;Model,https://image5.sahibinden.com/staticContent/969bb478/2309/451b/af82/d321e8a0a74d/1706003743.pdf ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,Resmî kira sözleşmesi adedi değildir; sahibindex/BETAM platform göstergesi yıllık proxy.
Türkiye,5,Kiralanan ev sayısı (platform proxy),adet/yıl,2028,586754.9359,Tahmin,Tahmin,S27;S28;S29;Model,https://image5.sahibinden.com/staticContent/969bb478/2309/451b/af82/d321e8a0a74d/1706003743.pdf ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,Resmî kira sözleşmesi adedi değildir; sahibindex/BETAM platform göstergesi yıllık proxy.
Türkiye,5,Kiralanan ev sayısı (platform proxy),adet/yıl,2029,602054.5218,Tahmin,Tahmin,S27;S28;S29;Model,https://image5.sahibinden.com/staticContent/969bb478/2309/451b/af82/d321e8a0a74d/1706003743.pdf ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,Resmî kira sözleşmesi adedi değildir; sahibindex/BETAM platform göstergesi yıllık proxy.
Türkiye,5,Kiralanan ev sayısı (platform proxy),adet/yıl,2030,614095.6122,Tahmin,Tahmin,S27;S28;S29;Model,https://image5.sahibinden.com/staticContent/969bb478/2309/451b/af82/d321e8a0a74d/1706003743.pdf ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,Resmî kira sözleşmesi adedi değildir; sahibindex/BETAM platform göstergesi yıllık proxy.
Türkiye,6,Ortalama kiralanan alan (ima edilen),m²,2022,97.5268,Yıl sonu / rapor dönemi,Türetilmiş,S14;S21,https://www.gayrimenkulhaber.com/guncel/endeksa-acikladi-aralik-ayinda-kira-artisi-hiz-kesti-bazi-bolgelerde-dususler-var/ ; https://betam.bahcesehir.edu.tr/2023/01/sahibindex-kiralik-konut-piyasasi-gorunumu-ocak-2023/,Ortalama kira / kiralık m² fiyatı ile çapraz-kaynak ima edilen alan.
Türkiye,6,Ortalama kiralanan alan (ima edilen),m²,2023,109.058,Yıl sonu / rapor dönemi,Türetilmiş,S14;S22,https://www.gayrimenkulhaber.com/guncel/endeksa-acikladi-aralik-ayinda-kira-artisi-hiz-kesti-bazi-bolgelerde-dususler-var/ ; https://betam.bahcesehir.edu.tr/2024/01/sahibindex-kiralik-konut-piyasasi-gorunumu-ocak-2024/,Ortalama kira / kiralık m² fiyatı ile çapraz-kaynak ima edilen alan.
Türkiye,6,Ortalama kiralanan alan (ima edilen),m²,2024,104.9221,Yıl sonu / rapor dönemi,Türetilmiş,S15;S23,https://www.gayrimenkulhaber.com/guncel/endeksa-2024-yillik-gayrimenkul-deger-raporu-yayimlandi/ ; https://betam.bahcesehir.edu.tr/2026/01/sahibindex-kiralik-konut-piyasasi-gorunumu-ocak-2026/,Ortalama kira / kiralık m² fiyatı ile çapraz-kaynak ima edilen alan.
Türkiye,6,Ortalama kiralanan alan (ima edilen),m²,2025,104.1017,Yıl sonu / rapor dönemi,Türetilmiş,S16;S23,https://www.karar.com/ekonomi-haberleri/konut-satislari-ne-durumda-emlakta-en-cok-kazandiran-il-hangisi-2033220 ; https://betam.bahcesehir.edu.tr/2026/01/sahibindex-kiralik-konut-piyasasi-gorunumu-ocak-2026/,Ortalama kira / kiralık m² fiyatı ile çapraz-kaynak ima edilen alan.
Türkiye,6,Ortalama kiralanan alan (ima edilen),m²,2026,93.9259,Temmuz 2026 son gözlem,Türetilmiş,S17;S24,https://www.emlakjet.com/satilik-konut ; https://www.cnbce.com/gayrimenkul/konut-piyasasinda-temmuz-hareketliligi-kiralikta-talep-artti-kiralar-reel-olarak-dustu-g36014,Ortalama kira / kiralık m² fiyatı ile çapraz-kaynak ima edilen alan.
Türkiye,6,Ortalama kiralanan alan (ima edilen),m²,2027,93.9259,Tahmin,Tahmin,S17;S24;S28;S29;S24;S28;S29,https://www.emlakjet.com/satilik-konut ; https://www.cnbce.com/gayrimenkul/konut-piyasasinda-temmuz-hareketliligi-kiralikta-talep-artti-kiralar-reel-olarak-dustu-g36014 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976 ; https://www.cnbce.com/gayrimenkul/konut-piyasasinda-temmuz-hareketliligi-kiralikta-talep-artti-kiralar-reel-olarak-dustu-g36014 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,Ortalama kira / kiralık m² fiyatı ile çapraz-kaynak ima edilen alan.
Türkiye,6,Ortalama kiralanan alan (ima edilen),m²,2028,93.9259,Tahmin,Tahmin,S17;S24;S28;S29;S24;S28;S29,https://www.emlakjet.com/satilik-konut ; https://www.cnbce.com/gayrimenkul/konut-piyasasinda-temmuz-hareketliligi-kiralikta-talep-artti-kiralar-reel-olarak-dustu-g36014 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976 ; https://www.cnbce.com/gayrimenkul/konut-piyasasinda-temmuz-hareketliligi-kiralikta-talep-artti-kiralar-reel-olarak-dustu-g36014 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,Ortalama kira / kiralık m² fiyatı ile çapraz-kaynak ima edilen alan.
Türkiye,6,Ortalama kiralanan alan (ima edilen),m²,2029,93.9259,Tahmin,Tahmin,S17;S24;S28;S29;S24;S28;S29,https://www.emlakjet.com/satilik-konut ; https://www.cnbce.com/gayrimenkul/konut-piyasasinda-temmuz-hareketliligi-kiralikta-talep-artti-kiralar-reel-olarak-dustu-g36014 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976 ; https://www.cnbce.com/gayrimenkul/konut-piyasasinda-temmuz-hareketliligi-kiralikta-talep-artti-kiralar-reel-olarak-dustu-g36014 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,Ortalama kira / kiralık m² fiyatı ile çapraz-kaynak ima edilen alan.
Türkiye,6,Ortalama kiralanan alan (ima edilen),m²,2030,93.9259,Tahmin,Tahmin,S17;S24;S28;S29;S24;S28;S29,https://www.emlakjet.com/satilik-konut ; https://www.cnbce.com/gayrimenkul/konut-piyasasinda-temmuz-hareketliligi-kiralikta-talep-artti-kiralar-reel-olarak-dustu-g36014 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976 ; https://www.cnbce.com/gayrimenkul/konut-piyasasinda-temmuz-hareketliligi-kiralikta-talep-artti-kiralar-reel-olarak-dustu-g36014 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,Ortalama kira / kiralık m² fiyatı ile çapraz-kaynak ima edilen alan.
Türkiye,7,Ortalama kiralık m² fiyatı,TL/m²/ay,2022,71.0,Yıl sonu / rapor dönemi,Piyasa verisi,S21,https://betam.bahcesehir.edu.tr/2023/01/sahibindex-kiralik-konut-piyasasi-gorunumu-ocak-2023/,
Türkiye,7,Ortalama kiralık m² fiyatı,TL/m²/ay,2023,132.7,Yıl sonu / rapor dönemi,Piyasa verisi,S22,https://betam.bahcesehir.edu.tr/2024/01/sahibindex-kiralik-konut-piyasasi-gorunumu-ocak-2024/,
Türkiye,7,Ortalama kiralık m² fiyatı,TL/m²/ay,2024,190.6177,Yıl sonu / rapor dönemi,Türetilmiş / geriye hesap,S23,https://betam.bahcesehir.edu.tr/2026/01/sahibindex-kiralik-konut-piyasasi-gorunumu-ocak-2026/,
Türkiye,7,Ortalama kiralık m² fiyatı,TL/m²/ay,2025,243.8,Yıl sonu / rapor dönemi,Piyasa verisi,S23,https://betam.bahcesehir.edu.tr/2026/01/sahibindex-kiralik-konut-piyasasi-gorunumu-ocak-2026/,
Türkiye,7,Ortalama kiralık m² fiyatı,TL/m²/ay,2026,294.2,Temmuz 2026 son gözlem,Son piyasa gözlemi,S24,https://www.cnbce.com/gayrimenkul/konut-piyasasinda-temmuz-hareketliligi-kiralikta-talep-artti-kiralar-reel-olarak-dustu-g36014,
Türkiye,7,Ortalama kiralık m² fiyatı,TL/m²/ay,2027,338.33,Tahmin,Tahmin,S24;S28;S29,https://www.cnbce.com/gayrimenkul/konut-piyasasinda-temmuz-hareketliligi-kiralikta-talep-artti-kiralar-reel-olarak-dustu-g36014 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,"Nominal fiyat patikası: 2027 %15, 2028 %9, 2029 %6, 2030 %5."
